Label,Latitude,Longitude,ID,Place Name,Place Type,Place Address
16,13.6368189,79.4295125,ba7968aa2e33371bc67dd8e27c06417b4ee902e3,Mounika Medical Shop,pharmacy,"Korlagunta Main Road, Korlagunta, Kothapalli, Tirupati"
2,13.6311036,79.4214166,53c3658fbe250eb42fb1d3c1f5fc615d402c9ce7,Naveen Medicals & Fancy,pharmacy,"Bandla Street, Mallaiah Gunta Katta, Tata Nagar, Tirupati"
11,13.6423387,79.4292113,245839eb2a2ec925ca32dff9a4368de9afe3da92,New Gogula Medicals,pharmacy,"Shiv Jyoti Nagar, Tirupati"
2,13.6321576,79.4181255,7dc4b2345a20ca138dac5e4003853092412b7e65,New Kalyani Medicals,drugstore,"Old No: 87 New, No: 133, Theerthakatta Street, Tirupati"
2,13.6311743,79.4196158,9a4b8a8bed36dd8d0cf697965a91d5f57eded881,New venkataramana medicals,pharmacy,"near nalugukalla mandalam, Bandla Street, Tirupati"
14,13.6183827,79.4090831,5f4c3d7ce2111df504e198744f3b0036bf07f786,New Vikram Medicals,pharmacy,"ullipatteda,, Tirupati"
9,13.6182469,79.3808354,7c02c4bb06309d1ac984a7a77ae984c970da6e08,"Nuthan Pharmacy, Haripuram Colony, Perur Rural,Tirupathi.",pharmacy,"Vidya Nagar Colony, Tirupati"
2,13.630908,79.4199936,70b116d1b9fa9796a394c29235964566213bb059,Om Siva Medicals,pharmacy,"Bandla Street, Tirupati"
6,13.6218341,79.4097493,d9be086377161c8fadbcbc9decec0bfc943a161c,Pharmacy,pharmacy,"517501, Shanthi Nagar, Padmavathi Nagar, Tirupati"
11,13.641717,79.4278267,630a4190820b2e44b25b59c1cc1ef15196d8c7d3,Poojitha Medicals,drugstore,"20-3-124D, Leela Mahal, Junction, Tirumala Bypass Road, Tirupati"
12,13.6368788,79.4145612,3103e022ce2a988436f6be5ea5ff7be6f08d7dc0,Popular Agencies,pharmacy,"5-1-a, 5-1-46, Sarojini Devi Road, Sarojini Devi Layout, Tirupati"
